"sep=,"
sn,serial,ct,modelo,observaciones,disponible
128,5CG1038PV9,WHGREOBRLEMWP7,"portatil HP",,SI
129,5CG10390L4,WHGREOBZKELXCR,"portatil HP",,SI
130,5CG1038VS4,WHGREOBRLEMWDM,"portatil HP",,SI
131,5CG1038VFH,WHGREOBRLEMWKB,"portatil HP",,SI
132,5CG1038VSL,WHGREOBRLEMWKT,"portatil HP",,SI
133,5CG1038R45,WHGREOBRLEMWLS,"portatil HP",,SI
134,5CG1038P3N,WHGREOBRLEMWE1,"portatil HP",,SI
135,5CG1038X5Q,WHGREOBRLEMW72,"portatil HP",,SI
136,5CG1038Q8Y,WHGREOBRLEMX3K,"portatil HP",,SI
137,5CG1038P2R,WHGREOBRLEMWIF,"portatil HP",,SI
138,5CG1038S18,WHGREOZKRLEX2K,"portatil HP",,SI
139,5CG1038TYV,WHGREOBRLEMWV5,"portatil HP",,SI
140,5CG1038TP6,WHGREOBRLEMW45,"portatil HP",,SI
141,5CG1038TG9,WHGREOBRLEMWA4,"portatil HP",,SI
142,5CG1038VX8,WHGREOBRLEMWYV,"portatil HP",,SI
143,5CG1038CS9,WHHREOA4LEJ650,"portatil HP",,SI
144,5CG1038QT6,WHHREOA4LEJ66F,"portatil HP",,SI
145,5CG1038SOZ,WHGREOBRLEMWPO,"portatil HP",,SI
146,5CG1038QKQ,WHGREOBRLEMWOT,"portatil HP",,SI
147,5CG1038QGT,WHGREOBRLEMWJG,"portatil HP",,SI
148,5CG1038V57,WHGREOBRLEMWXR,"portatil HP",,SI
149,5CG1038TZS,WHGREOBRLEMWVG,"portatil HP",,SI
150,5CG1038ST8,WHGREOBRLEMWK1,"portatil HP",,SI
151,5CG1038TGL,WHHREOA4LEJ5S8,"portatil HP",,SI
152,5CG1038VG9,WHGREOBRLEMWOX,"portatil HP",,SI
153,5CG1038QV1,WHGREOBRLEMVX2,"portatil HP",,SI
154,5CG1038QSX,WHGREOBRLEMW49,"portatil HP",,SI
155,5CG1038VRW,WHGREOBRLEMW4U,"portatil HP",,SI
156,5CG1038V34,WHGREOBRLEMWAJ,"portatil HP",,SI
157,5CG1038Q2G,WHGREOBRLEMWPB,"portatil HP",,SI
158,5CG1038RRV,WHGREOBRLEMW5P,"portatil HP",,SI
159,5CG1038R3Y,WHGREOBRLEMW5B,"portatil HP",,SI
160,5CG1038SOV,WHGREOBRLEMWQD,"portatil HP",,SI
161,5CG1038QSZ,WHGREOBRLEMWJV,"portatil HP",,SI
162,5CG103900M,WHGREOBRLEMW,"portatil HP",,SI
163,5CG1038PQP,WHGREOBRLEMWUH,"portatil HP",,SI
164,5CG1038TGL,WHHREO4ALEJ5S8,"portatil HP",,SI
165,5CG1038RRY,WHGREOBRLEMWVJ,"portatil HP",,SI
166,5CG1038TP7,WHHREOA4LEJ6D5,"portatil HP",,SI
167,5CG1038SQ6,WHGREOBRLEMW6Q,"portatil HP",,SI
168,5CG1038W37,WHGREOBRLEMWFQ,"portatil HP",,SI
169,5CG1038SZP,WHGREOBRLEMWPJ,"portatil HP",,SI
170,5CG1038QJX,WHGREOBRLEMW6B,"portatil HP",,SI
171,5CG1038TZX,WHGREOBZKELX8T,"portatil HP",,SI
172,5CG10384Q6,WHGREOBZKELXB9,"portatil HP",,SI
173,5CG1038TP8,WHGREOBRLEMX3F,"portatil HP",,SI
174,5CG1038VYP,WHGREOBZKELXEQ,"portatil HP",,SI
175,5CG1038QKD,WHGREOBRLEMW4H,"portatil HP",,SI
176,5CG1038TCN,WHGREOBRLEMWFO,"portatil HP",,SI
177,5CG1038R4G,WHGREOBRLEMWYZ,"portatil HP",,SI
178,5CG1038XNJ,WHGREOBRLEMWY2,"portatil HP",,SI
179,5CG1038Q98,WHGREOBRLEMWMN,"portatil HP",,SI
180,5CG1038R3D,WHGREOBRLEMW76,"portatil HP",,SI
181,5CG1038QQ7,WHHREOA4LEJ6G8,"portatil HP",,SI
182,5CG1038R4R,WHGREOBRLEMWZ9,"portatil HP",,SI
183,5CG1038XNB,WHGREOBRLEMW6Z,"portatil HP",,SI
184,5CG103849B,WHGREOBRLEMW53,"portatil HP",,SI
185,5CG1038RRS,WHGREOBRLEMWK8,"portatil HP",,SI
186,5CG1038Q9M,WHGREOBRLEMWXZ,"portatil HP",,SI
187,5CG1038VS6,WHGREOBRLEMWE3,"portatil HP",,SI
188,5CG1038NTL,WHGREOBRLEMWEW,"portatil HP",,SI
189,5CG1038Q8Q,WHGREOBRLEMW4R,"portatil HP",,SI
190,5CG1038WF7,WHHREOA4LEJ5AJ,"portatil HP",,SI
191,5CG1038TYZ,WHGREOBRLEMWYH,"portatil HP",,SI
192,5CG1038VFZ,WHGREOBRLEMWZN,"portatil HP",,SI
193,5CG1038TP4,WHGREOBRLEMW50,"portatil HP",,SI
194,5CG1038N03,WHGREOBRLEMWNQ,"portatil HP",,SI
195,5CG1038TC7,WHGREOBRLEMW54,"portatil HP",,SI
196,5CG1038XS7,WHGREOBRLEMWMI,"portatil HP",,SI
197,5CG1039OLN,WHHREOA4LEJ6H4,"portatil HP",,SI
198,5CG1038TZC,WHGREOBRLEMWNM,"portatil HP",,SI
199,5CG1038S35,WHGREOBRLEMWXS,"portatil HP",,SI
200,5CG1038VS9,WHGREOBRLEMWKY,"portatil HP",,SI
201,5CG1038VR6,WHGREOBRLEMX2U,"portatil HP",,SI
202,5CG1038VFZ,WHGREOBRLEMWZN,"portatil HP",,SI
203,5CG1038TZ4,WHGREOBRLEMW60,"portatil HP",,SI
204,5CG1038NK1,WHGREOBRLEMWN3,"portatil HP",,SI
205,5CG1038VYD,WHGREOBRLEMW5R,"portatil HP",,SI
206,5CG1038ST6,WHGREOBRLEMWXB,"portatil HP",,SI
207,5CG1038VQM,WHGREOBRLEMWAQ,"portatil HP",,SI
208,5CG1038W2N,WHGREOBRLEMWBS,"portatil HP",,SI
209,5CG1038W37,WHGREOBRLEMWFQ,"portatil HP",,SI
210,5CG1038S0Q,WHGREOBRLEMW6Q,"portatil HP",,SI
211,5CG1038TP7,WHGREOBRLEMW,"portatil HP",,SI
212,5CG1038W37,WHGREOBRLEMWFQ,"portatil HP",,SI
213,5CG1038VXC,WHGREOBRLEMWO5,"portatil HP",,SI
214,5CG1039033,WHHHREOA44LEJ6BU,"portatil HP",,SI
215,5CG1038R4T,WHGREOBRLEMW44,"portatil HP",,SI
216,5CG1038TPJ,WHGREOBZKELXF5,"portatil HP",,SI
217,5CG1038TP7,WHHRE0A4LEJ6D5,"portatil HP",,SI
218,5CG1038DZQ,WHHRE0A4LEJ6CQ,"portatil HP",,SI
219,5CG1038RR7,WHGREOBRLEMX31,"portatil HP",,SI
220,5CG10390B0,WHHRE0A4LEJ5AM,"portatil HP",,SI
221,5CG1038QFM,WHGREOBRLEMWOC,"portatil HP",,SI
222,5CG1038W3D,WHGREOBRLEMWA6,"portatil HP",,SI
223,5CG1038TFT,WHGREOBRLEMW4F,"portatil HP",,SI
224,5CG1038QGL,WHGREOBRLEMW6H,"portatil HP",,SI
225,5CG1038DZG,WHHREOA4LEJ5Z6,"portatil HP",,SI
226,5CG1038T40,WHGREOBRLEMWEL,"portatil HP",,SI
227,5CG1038T3W,WHGREOBRLEMW56,"portatil HP",,SI
228,5CG1038T47,WHGREOBRLEMWND,"portatil HP",,SI
229,5CG1038TGO,WHHREOA4LEJ5V8,"portatil HP",,SI
230,5CG1038NOY,WHHREOA4LEJ5ZK,"portatil HP",,SI
231,5CG1038T44,WHGREOBRLEMWF8,"portatil HP",,SI
232,5CG1038V5R,WHGREOBRLEMWZA,"portatil HP",,SI
233,5CG103908K,WHHRE0A4LEJLPQ,"portatil HP",,SI
234,5CG1038VFJ,WHGREOBRLEMW5M,"portatil HP",,SI
235,5CG1038D5P,WHGREOBRLEMWJU,"portatil HP",,SI
236,5CG1038QG3,WHGREOBZKELY1E,"portatil HP",,SI
237,5CG1038VXB,WHGREOBRLEMWC9,"portatil HP",,SI
238,5CG1038Y73,WHHRE0A4LEJ6GW,"portatil HP",,SI
239,5CG1038P31,WHGREOBRLEMWMS,"portatil HP",,SI
240,5CG1038Y0Z,WHHREOA4LEJ5AE,"portatil HP",,SI
241,5CG10390CG,WHGREOBRLEMWML,"portatil HP",,SI
242,5CG1038YN2,WHHREOA4LEJ6CB,"portatil HP",,SI
243,5CG1038Q3F,WHHREOA4LEJ6H5,"portatil HP",,SI
244,5CG1039OCZ,WHGREOBRLEMWZ8,"portatil HP",,SI
245,5CG1038W2H,WHGREOBRLEMWY9,"portatil HP",,SI
246,5CG1038VXJ,WHGREOBRLEMW,"portatil HP",,SI
247,5CG1038SZH,WHGREOBRLEMWA5,"portatil HP",,SI
248,5CG1038TCX,WHGREOBRLEMW6P,"portatil HP",,SI
249,5CG1038VRT,WHGREOBRLEMW5Y,"portatil HP",,SI
250,5CG1038S2D,WHHREOA4LEJ6GY,"portatil HP",,SI
251,5CG1038S04,WHGREOBRLEMWBF,"portatil HP",,SI
252,5CG1038R42,WHGREOBRLEMWEI,"portatil HP",,SI
253,5CG1038S2T,WHGREOBRLEMW7S,"portatil HP",,SI
254,5CG1038TZN,WHGREOBRLEMX39,"portatil HP",,SI
255,5CG1038VQZ,WHHREOA4LEJ6GB,"portatil HP",,SI
256,5CG1038TGX,WHGREOBRLEMW5X,"portatil HP",,SI
257,5CG1038NKD,WHGREOBRLEMWC8,"portatil HP",,SI
258,5CG1038Q2B,WHGREOBRLEMWYL,"portatil HP",,SI
259,5CG1038TBK,WHGREOBRLEMWEE,"portatil HP",,SI
260,5CG1038Y3N,WHGREOBRLEMWBR,"portatil HP",,SI
261,5CG1038S2J,WHGREOBRLEMWXT,"portatil HP",,SI
262,5CG1038VX9,WHGREOBRLEMWXJ,"portatil HP",,SI
263,5CG1038D4M,WHGREOBZKELX98,"portatil HP",,SI
264,5CG1038QFF,WHHREOA4LEJ6CC,"portatil HP",,SI
265,5CG1038YH1,WHGREOBRLEMWAU,"portatil HP",,SI
